ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001669191-21-000676	49	WV
0001669191-21-000676	50	WI
0001669191-21-000676	51	WY
0001669191-21-000676	52	B5
0001669191-21-000676	53	GU
0001669191-21-000676	54	1V
0001669191-21-000676	55	PR
0001669191-21-000676	56	VI
0001669191-21-000676	17	KS
0001669191-21-000676	18	KY
0001669191-21-000676	19	LA
0001669191-21-000676	20	ME
0001669191-21-000676	21	MD
0001669191-21-000676	22	MA
0001669191-21-000676	23	MI
0001669191-21-000676	24	MN
0001669191-21-000676	1	AL
0001669191-21-000676	2	AK
0001669191-21-000676	3	AZ
0001669191-21-000676	4	AR
0001669191-21-000676	5	CA
0001669191-21-000676	6	CO
0001669191-21-000676	7	CT
0001669191-21-000676	8	DE
0001669191-21-000676	9	DC
0001669191-21-000676	10	FL
0001669191-21-000676	11	GA
0001669191-21-000676	12	HI
0001669191-21-000676	13	ID
0001669191-21-000676	14	IL
0001669191-21-000676	15	IN
0001669191-21-000676	16	IA
0001669191-21-000676	25	MS
0001669191-21-000676	26	MO
0001669191-21-000676	27	MT
0001669191-21-000676	28	NE
0001669191-21-000676	29	NV
0001669191-21-000676	30	NH
0001669191-21-000676	31	NJ
0001669191-21-000676	32	NM
0001669191-21-000676	33	NY
0001669191-21-000676	34	NC
0001669191-21-000676	35	ND
0001669191-21-000676	36	OH
0001669191-21-000676	37	OK
0001669191-21-000676	38	OR
0001669191-21-000676	39	PA
0001669191-21-000676	40	RI
0001669191-21-000676	41	SC
0001669191-21-000676	42	SD
0001669191-21-000676	43	TN
0001669191-21-000676	44	TX
0001669191-21-000676	45	UT
0001669191-21-000676	46	VT
0001669191-21-000676	47	VA
0001669191-21-000676	48	WA
0001846065-21-000004	1	AL
0001846065-21-000004	56	1V
0001846065-21-000004	3	AZ
0001846065-21-000004	4	AR
0001846065-21-000004	5	CA
0001846065-21-000004	6	CO
0001846065-21-000004	7	CT
0001846065-21-000004	8	DE
0001846065-21-000004	9	DC
0001846065-21-000004	10	FL
0001846065-21-000004	11	GA
0001846065-21-000004	12	GU
0001846065-21-000004	13	HI
0001846065-21-000004	14	ID
0001846065-21-000004	15	IL
0001846065-21-000004	16	IN
0001846065-21-000004	17	IA
0001846065-21-000004	18	KS
0001846065-21-000004	19	KY
0001846065-21-000004	20	LA
0001846065-21-000004	21	ME
0001846065-21-000004	22	MD
0001846065-21-000004	23	MA
0001846065-21-000004	24	MI
0001846065-21-000004	33	NM
0001846065-21-000004	34	NY
0001846065-21-000004	35	NC
0001846065-21-000004	36	ND
0001846065-21-000004	37	OH
0001846065-21-000004	38	OK
0001846065-21-000004	39	OR
0001846065-21-000004	40	PA
0001846065-21-000004	41	PR
0001846065-21-000004	42	RI
0001846065-21-000004	43	SC
0001846065-21-000004	44	SD
0001846065-21-000004	45	TN
0001846065-21-000004	46	TX
0001846065-21-000004	47	UT
0001846065-21-000004	48	VT
0001846065-21-000004	25	MN
0001846065-21-000004	26	MS
0001846065-21-000004	27	MO
0001846065-21-000004	28	MT
0001846065-21-000004	29	NE
0001846065-21-000004	30	NV
0001846065-21-000004	31	NH
0001846065-21-000004	32	NJ
0001846065-21-000004	49	VI
0001846065-21-000004	50	VA
0001846065-21-000004	51	WA
0001846065-21-000004	52	WV
0001846065-21-000004	53	WI
0001846065-21-000004	54	WY
0001846065-21-000004	55	B5
0001846065-21-000004	2	AK
0001759667-21-000004	12	HI
0001759667-21-000004	11	GA
0001759667-21-000004	14	IL
0001759667-21-000004	15	IN
0001759667-21-000004	16	IA
0001759667-21-000004	17	KS
0001759667-21-000004	18	KY
0001759667-21-000004	19	LA
0001759667-21-000004	20	ME
0001759667-21-000004	21	MD
0001759667-21-000004	22	MA
0001759667-21-000004	23	MI
0001759667-21-000004	24	MN
0001759667-21-000004	25	MS
0001759667-21-000004	26	MO
0001759667-21-000004	27	MT
0001759667-21-000004	28	NE
0001759667-21-000004	29	NV
0001759667-21-000004	30	NH
0001759667-21-000004	31	NJ
0001759667-21-000004	32	NM
0001759667-21-000004	33	NY
0001759667-21-000004	34	NC
0001759667-21-000004	35	ND
0001759667-21-000004	36	OH
0001759667-21-000004	37	OK
0001759667-21-000004	38	OR
0001759667-21-000004	39	PA
0001759667-21-000004	40	PR
0001759667-21-000004	41	RI
0001759667-21-000004	42	SC
0001759667-21-000004	43	SD
0001759667-21-000004	44	TN
0001759667-21-000004	45	TX
0001759667-21-000004	46	UT
0001759667-21-000004	47	VT
0001759667-21-000004	48	VA
0001759667-21-000004	49	WA
0001759667-21-000004	50	WV
0001759667-21-000004	51	WI
0001759667-21-000004	52	WY
0001759667-21-000004	1	AL
0001759667-21-000004	2	AK
0001759667-21-000004	3	AZ
0001759667-21-000004	4	AR
0001759667-21-000004	5	CA
0001759667-21-000004	6	CO
0001759667-21-000004	7	CT
0001759667-21-000004	8	DE
0001759667-21-000004	9	DC
0001759667-21-000004	10	FL
0001759667-21-000004	13	ID
0001863613-21-000003	7	CT
0001863613-21-000003	8	DE
0001863613-21-000003	9	DC
0001863613-21-000003	10	FL
0001863613-21-000003	11	GA
0001863613-21-000003	12	HI
0001863613-21-000003	13	ID
0001863613-21-000003	14	IL
0001863613-21-000003	15	IN
0001863613-21-000003	16	IA
0001863613-21-000003	17	KS
0001863613-21-000003	18	KY
0001863613-21-000003	19	LA
0001863613-21-000003	20	ME
0001863613-21-000003	21	MD
0001863613-21-000003	22	MA
0001863613-21-000003	23	MI
0001863613-21-000003	30	NH
0001863613-21-000003	31	NJ
0001863613-21-000003	32	NM
0001863613-21-000003	33	NY
0001863613-21-000003	34	NC
0001863613-21-000003	35	ND
0001863613-21-000003	36	OH
0001863613-21-000003	37	OK
0001863613-21-000003	38	OR
0001863613-21-000003	39	PA
0001863613-21-000003	40	PR
0001863613-21-000003	41	RI
0001863613-21-000003	42	SC
0001863613-21-000003	43	SD
0001863613-21-000003	44	TN
0001863613-21-000003	45	TX
0001863613-21-000003	46	UT
0001863613-21-000003	47	VT
0001863613-21-000003	48	VA
0001863613-21-000003	49	WA
0001863613-21-000003	50	WV
0001863613-21-000003	51	WI
0001863613-21-000003	52	WY
0001863613-21-000003	24	MN
0001863613-21-000003	25	MS
0001863613-21-000003	26	MO
0001863613-21-000003	27	MT
0001863613-21-000003	28	NE
0001863613-21-000003	29	NV
0001863613-21-000003	1	AL
0001863613-21-000003	2	AK
0001863613-21-000003	3	AZ
0001863613-21-000003	4	AR
0001863613-21-000003	5	CA
0001863613-21-000003	6	CO
0001644600-21-000067	1	AL
0001644600-21-000067	39	PA
0001644600-21-000067	3	AZ
0001644600-21-000067	4	AR
0001644600-21-000067	5	CA
0001644600-21-000067	6	CO
0001644600-21-000067	7	CT
0001644600-21-000067	8	DE
0001644600-21-000067	9	DC
0001644600-21-000067	48	VA
0001644600-21-000067	49	WA
0001644600-21-000067	50	WV
0001644600-21-000067	51	WI
0001644600-21-000067	52	WY
0001644600-21-000067	40	PR
0001644600-21-000067	41	RI
0001644600-21-000067	42	SC
0001644600-21-000067	43	SD
0001644600-21-000067	44	TN
0001644600-21-000067	45	TX
0001644600-21-000067	46	UT
0001644600-21-000067	47	VT
0001644600-21-000067	10	FL
0001644600-21-000067	11	GA
0001644600-21-000067	12	HI
0001644600-21-000067	13	ID
0001644600-21-000067	14	IL
0001644600-21-000067	15	IN
0001644600-21-000067	16	IA
0001644600-21-000067	17	KS
0001644600-21-000067	18	KY
0001644600-21-000067	19	LA
0001644600-21-000067	20	ME
0001644600-21-000067	21	MD
0001644600-21-000067	22	MA
0001644600-21-000067	23	MI
0001644600-21-000067	24	MN
0001644600-21-000067	25	MS
0001644600-21-000067	26	MO
0001644600-21-000067	27	MT
0001644600-21-000067	28	NE
0001644600-21-000067	29	NV
0001644600-21-000067	30	NH
0001644600-21-000067	31	NJ
0001644600-21-000067	32	NM
0001644600-21-000067	33	NY
0001644600-21-000067	34	NC
0001644600-21-000067	35	ND
0001644600-21-000067	36	OH
0001644600-21-000067	37	OK
0001644600-21-000067	38	OR
0001644600-21-000067	2	AK
0001665160-21-001206	36	OH
0001665160-21-001206	52	WY
0001665160-21-001206	38	OR
0001665160-21-001206	39	PA
0001665160-21-001206	40	PR
0001665160-21-001206	41	RI
0001665160-21-001206	1	AL
0001665160-21-001206	2	AK
0001665160-21-001206	3	AZ
0001665160-21-001206	4	AR
0001665160-21-001206	5	CA
0001665160-21-001206	6	CO
0001665160-21-001206	7	CT
0001665160-21-001206	8	DE
0001665160-21-001206	9	DC
0001665160-21-001206	10	FL
0001665160-21-001206	11	GA
0001665160-21-001206	12	HI
0001665160-21-001206	13	ID
0001665160-21-001206	14	IL
0001665160-21-001206	15	IN
0001665160-21-001206	16	IA
0001665160-21-001206	17	KS
0001665160-21-001206	18	KY
0001665160-21-001206	19	LA
0001665160-21-001206	20	ME
0001665160-21-001206	21	MD
0001665160-21-001206	22	MA
0001665160-21-001206	23	MI
0001665160-21-001206	24	MN
0001665160-21-001206	25	MS
0001665160-21-001206	26	MO
0001665160-21-001206	27	MT
0001665160-21-001206	28	NE
0001665160-21-001206	29	NV
0001665160-21-001206	30	NH
0001665160-21-001206	31	NJ
0001665160-21-001206	32	NM
0001665160-21-001206	33	NY
0001665160-21-001206	34	NC
0001665160-21-001206	35	ND
0001665160-21-001206	42	SC
0001665160-21-001206	43	SD
0001665160-21-001206	44	TN
0001665160-21-001206	45	TX
0001665160-21-001206	46	UT
0001665160-21-001206	47	VT
0001665160-21-001206	48	VA
0001665160-21-001206	49	WA
0001665160-21-001206	50	WV
0001665160-21-001206	51	WI
0001665160-21-001206	37	OK
0001669191-21-000674	1	AL
0001669191-21-000674	32	NM
0001669191-21-000674	3	AZ
0001669191-21-000674	4	AR
0001669191-21-000674	5	CA
0001669191-21-000674	6	CO
0001669191-21-000674	7	CT
0001669191-21-000674	33	NY
0001669191-21-000674	34	NC
0001669191-21-000674	35	ND
0001669191-21-000674	36	OH
0001669191-21-000674	37	OK
0001669191-21-000674	38	OR
0001669191-21-000674	39	PA
0001669191-21-000674	40	RI
0001669191-21-000674	41	SC
0001669191-21-000674	42	SD
0001669191-21-000674	43	TN
0001669191-21-000674	44	TX
0001669191-21-000674	45	UT
0001669191-21-000674	46	VT
0001669191-21-000674	47	VA
0001669191-21-000674	48	WA
0001669191-21-000674	49	WV
0001669191-21-000674	50	WI
0001669191-21-000674	51	WY
0001669191-21-000674	52	B5
0001669191-21-000674	53	GU
0001669191-21-000674	54	1V
0001669191-21-000674	55	PR
0001669191-21-000674	56	VI
0001669191-21-000674	8	DE
0001669191-21-000674	9	DC
0001669191-21-000674	10	FL
0001669191-21-000674	11	GA
0001669191-21-000674	12	HI
0001669191-21-000674	13	ID
0001669191-21-000674	14	IL
0001669191-21-000674	15	IN
0001669191-21-000674	16	IA
0001669191-21-000674	17	KS
0001669191-21-000674	18	KY
0001669191-21-000674	19	LA
0001669191-21-000674	20	ME
0001669191-21-000674	21	MD
0001669191-21-000674	22	MA
0001669191-21-000674	23	MI
0001669191-21-000674	24	MN
0001669191-21-000674	25	MS
0001669191-21-000674	26	MO
0001669191-21-000674	27	MT
0001669191-21-000674	28	NE
0001669191-21-000674	29	NV
0001669191-21-000674	30	NH
0001669191-21-000674	31	NJ
0001669191-21-000674	2	AK
0001824547-21-000002	16	IA
0001824547-21-000002	17	KS
0001824547-21-000002	18	KY
0001824547-21-000002	19	LA
0001824547-21-000002	20	ME
0001824547-21-000002	21	MD
0001824547-21-000002	22	MA
0001824547-21-000002	23	MI
0001824547-21-000002	24	MN
0001824547-21-000002	25	MS
0001824547-21-000002	26	MO
0001824547-21-000002	27	MT
0001824547-21-000002	28	NE
0001824547-21-000002	29	NV
0001824547-21-000002	30	NH
0001824547-21-000002	31	NJ
0001824547-21-000002	32	NM
0001824547-21-000002	33	NY
0001824547-21-000002	34	NC
0001824547-21-000002	35	ND
0001824547-21-000002	36	OH
0001824547-21-000002	37	OK
0001824547-21-000002	38	OR
0001824547-21-000002	39	PA
0001824547-21-000002	40	PR
0001824547-21-000002	41	RI
0001824547-21-000002	42	SC
0001824547-21-000002	43	SD
0001824547-21-000002	44	TN
0001824547-21-000002	45	TX
0001824547-21-000002	46	UT
0001824547-21-000002	47	VT
0001824547-21-000002	48	VA
0001824547-21-000002	49	WA
0001824547-21-000002	50	WV
0001824547-21-000002	51	WI
0001824547-21-000002	52	WY
0001824547-21-000002	53	A0
0001824547-21-000002	54	A1
0001824547-21-000002	55	A2
0001824547-21-000002	56	A3
0001824547-21-000002	57	A4
0001824547-21-000002	58	A5
0001824547-21-000002	59	A6
0001824547-21-000002	60	A7
0001824547-21-000002	61	A8
0001824547-21-000002	62	A9
