ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001669191-21-000676	1	Talla Inc.	Francis Speiser	Principal Executive Officer
0001846065-21-000004	1	CISAPP Online Inc.	Palem Imran Mohammed	CEO & Director
0001759667-21-000004	1	UCCELLINI INC	Lora LeeAnne Haddock DiCarlo	Chief Executive Officer
0001863613-21-000003	1	Popoca Oakland, LLC	Anthony Salguero	Co-owner
0001644600-21-000067	1	Glytch Gear, Inc.	Michael Williams	President and Chief Executive Officer
0001665160-21-001206	1	Love Sun Body LLC	Dr. Terry Zickerman	CEO
0001669191-21-000674	1	Energy Exploration Technologies, Inc.	Teague Egan	Principal Executive Officer
0001824547-21-000002	1	ABR First Capital LLC	Frank Bashore	President
0001670254-21-000764	1	BIOSMART RESEARCH, INC.	B Renee Searle	CEO
0001669191-21-000672	1	HighSchoolResponder LLC	Barbara A Grimm	Principal Executive Officer
0001665160-21-001205	1	Arc Footwear, Corp.	Sean Clarke	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000670	1	Dashible, Inc.	Marvin Johnson	Principal Executive Officer
0001669191-21-000668	1	Guardian Athletics, Inc.	David Norris	Principal Executive Officer
0001669191-21-000666	1	TOP UNii, Inc	Dermell Brunson	Principal Executive Officer
0001669191-21-000664	1	Artificial Intelligence Economic Development Corporation	Leonard S.   Johnson Ph.D. student	Principal Executive Officer
0001665160-21-001203	1	Beanstox Inc.	Connor O'Brien	CEO and Principal Executive Officer
0001670254-21-000762	1	Invincible Entertainment Partners LLC	Thomas Ashley	CEO
0001665160-21-001202	1	Breezy Swimwear Inc.	Kris Izquierdo	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001690433-21-000004	1	AFFL ASSOCIATES, LLC	Jeff Lewis	CEO
0001670254-21-000760	1	Nwicode	Ruslan Bugaev	Founder and CEO
0001640709-21-000004	1	Bellhop Technologies Inc.	/s/Payam Safa	CEO, Director
0001745986-21-000004	1	AppMail, Inc.	Shi Li	CEO, principal financial officer, and principal accounting officer
0001746059-21-000305	1	Sporty Dog Creations, LLC	Lashauna Jones	Owner and Founder
0001866542-21-000002	1	Desert Cannalytix Inc.	Malorie La Fuente by Sean Fuellhart POA	CEO
0001746059-21-000304	1	Brass Knuckle Brewing Company, LLC	Kyle Lenke	Owner and Founder
0001866542-21-000001	1	Shaman Productions Corp.	Maria Crisler by Sean Fuellhart POA	CEO
0001870094-21-000001	1	Sublime Stericeuticals Corp	Joel Lennon-Meyer	President
0001812129-21-000003	1	Toast! Supplements Inc	Sean O'Neill	President
0001746059-21-000302	1	SPORKconcepts LLC	Jeffrey Olsen	Owner
0001669191-21-000662	1	ACK Right Endeavors LLC	Jack McDaniel	Principal Executive Officer
0001669191-21-000660	1	Northstar Technologies Group, Inc.	Paul Inglese	Principal Executive Officer
0001852221-21-000005	1	2XPLR, Inc.	C.R. CELONA	CEO
0001781955-21-000004	1	Dome Audio Inc.	Ben White	CEO
0001509693-21-000002	1	IzMaCo Investments LLC	John Morgan	CEO
0001665160-21-001200	1	6d bytes inc.	Vipin Jain	CEO, Principal Executive Officer and Director, Principal Financials Officer, and Principal Accounting Officer.
0001665160-21-001198	1	Covira Surgical, Inc.	Peter Farmakis	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001196	1	Global Startup Ecosystem, Inc.	Christine Ntim	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-21-000657	1	Adaptive Holdings, LLC	Kauffman Scott	Principal Executive Officer
0001796060-21-000005	1	Dope Coffee Co LLC	Michael Loyd	CEO
0001829703-21-000003	1	Union Electric Supply, Inc.	Alexander Max Goldstein	Chief Executive Officer
0001670254-21-000758	1	Factmata Inc	Dhruv Ghulati	Founder & co-CEO
0001848794-21-000003	1	Work4Workers, Inc.	PHILLIP POMPA	CEO
0001746059-21-000301	1	Roast Umber, LLC	Bradley Gakenheimer	CEO and CoFounder
0001746059-21-000300	1	High Water Music, LLC	Jeremias Geigel	Owner and Founder
0001669191-21-000654	1	MUSTWATCH LLC	Chelinde Edouard	Principal Executive Officer
0001669191-21-000652	1	Zelgor Inc	John Fanning Jr	Principal Executive Officer
0001669191-21-000650	1	Innovative Product Solutions Inc.	Paul Luna	Principal Executive Officer
0001869516-21-000002	1	Eureka Compass Vegan Food, LLC	Colin Anderson	President
0001665160-21-001193	1	Fanbase Social Media, Inc.	Isaac Hayes III	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001191	1	La Fayette Franchise, Inc.	Nicolas Billaud	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-001190	1	Mobot Nation Inc.	Lani Cooper	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001650200-21-000002	1	ALPHAFLOW INC.	Ray Sturm	CEO
0001669191-21-000648	1	Targeted Shopping Solutions, Inc.	James Mulford	Principal Executive Officer
0001669191-21-000646	1	Kehei, LLC	Adrienne Moore	Principal Executive Officer
0001669191-21-000644	1	Bioverge, Inc.	Neil Littman	Principal Executive Officer
0001669191-21-000642	1	GenesisAI Corporation	Archil Cheishvili	Principal Executive Officer
0001746059-21-000299	1	Ethiopic, LLC	Meseret Bekele	Owner and CoFounder
0001746059-21-000298	1	Back Porch Brewing Inc	Tim Wickard	Owner and CoFounder
0001665160-21-001189	1	Zenus, Inc.	Panagiotis Moutafis, Ph.D.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001845758-21-000003	1	Abletek, Inc.	Ravindra Singh	Founder
0001746059-21-000297	1	HOT OVEN COOKIES, LLC	Sheila Coon	Owner and CEO
0001828173-21-000004	1	Verge Brewing LLC	Pete Bender	Owner Manager
0001746059-21-000296	1	PIVOVAR WEST BREWING Co LLC	Nyle Molina	Owner and Founder
0001683827-21-000004	1	Good Kitchen, LLC	/s/ Amber Lewis	Manager
0001858426-21-000003	1	Moonrock Property Management LLC	DeShon Swafford	CEO
0001863544-21-000007	1	Bobbie Baby, Inc.	Laura Hughes Modi	Chief Executive Officer and Director
0001856356-21-000001	1	Eyetamins, Inc.	Kaushal Kulkarni	Chief Executive Officer
0001619078-21-000008	1	Peaberry Software Inc.	Colin Nederkoorn	CEO & Director
0001670254-21-000754	1	LearnDay, Inc.	Jacques Wong	Chief Executive Officer
0001865457-21-000002	1	Passu, Inc.	Eugene Kim	CEO
0001670254-21-000756	1	Stanulis Films Inc.	Steve Stanulis	Founder, Chief Executive Officer, President
0001670254-21-000752	1	Bewell Digital Inc	Alagiri Senthilkumar	Chief Executive Officer
0001867285-21-000002	1	Hillhouse Coffee & Lounge	Logan Power by Sean Fuellhart POA	Owner
0001833112-21-000004	1	MicroSalt Inc.	/s/ Konrad Dabrowski	Treasurer, Secretary, and CFO
