ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	ISCOISSUER	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-22-002571	0			MaxTracker, Inc.	Corporation		DE	2022-07-29	13703 Josephine Ct		Thornton	CO	80602	mymaxtracker.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002570	0			MARCo Health, Inc	Corporation		DE	2018-02-07	112 Large Avenue		Hillsdale	NJ	07642	https://www.marcohealthtech.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001665160-22-002569	0			CMPD Wealth, Corp.															
0001669191-22-000933	0		issuer changed cover image on the offering page.	Digital Direct IR, Inc.	Corporation		NY	1998-02-25	61-21 183rd Street		Fresh Meadows	NY	11365	https://digitaldirectir.com/	NetCapital Funding Portal Inc.	N	0001669191	007-00035	283596
0001665160-22-002568	0			PURPOSEENERGY INC															
0001665160-22-002567	0			CIRQ PLUS, INC.															
0001665160-22-002565	0			Propzie, Inc.	Corporation		DE	2018-08-03	1900 N Bayshore Dr 1A 138		Miami	FL	33132	www.tennts.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001858449-22-000005	0	At the close of the offering, the issuer has issued 29,432 Class B Non-Voting Common shares for $36,790 cash consideration.		Mediloq, Inc.	Corporation		DE	2016-10-12	5546 SPINE RD	UNIT 104	BOULDER	CO	80301	https://www.mediloq.com/	IGNITE SOCIAL IMPACT INC.	N	0001810362	007-00237	310501
0001665160-22-002561	1		Issuer is extending campaign end date.	Einstok Beer Co.	Corporation		DE	2022-01-24	12381 WILSHIRE BOULEVARD, SUITE 105	SUITE 105	LOS ANGELES	CA	90025	www.EinstokBeer.com	StartEngine Capital, LLC	N	0001665160	007-00007	
0001670254-22-001013	0			KTD, LLC d/b/a Homeshake	Limited Liability Company		OH	2019-09-26	7333 Country Club Lane		West Chester	OH	45069	http://www.homeshake.com	Wefunder Portal LLC	Y	0001670254	007-00033	283503
0001907816-22-000007	0			HBCU Hub															
