ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001821982-22-000017	1			North Cove Crowdfunding SPV, LLC	Limited Liability Company		NC	07-APR-2022	210 Blue Ridge Dr. N.		Marion	NC	28752	
0001670254-22-001311	2			Prolific Brewing Company I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001311	1			Prolific Brewing Company I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001309	2			Qnetic I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001309	1			Qnetic I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	23-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001304	2			Virtual Storefronts I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001306	1			Resolution Bed II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-OCT-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001304	1			Virtual Storefronts I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001302	1			NYCE II, a series of Wefunder SPV, LLC	Limited Liability Company		DE	19-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001302	2			NYCE II EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	19-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001300	1			Rightstars I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001300	2			Rightstars I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-NOV-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001298	1			Tusk Browser I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001298	2			Tusk Browser I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001294	1			Teeccino I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001296	2			Upshift I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001296	1			Upshift I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-22-001294	2			Teeccino I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	21-DEC-2022	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
