ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001669191-23-000658	3	Rob Noonan	Board Director	2023-05-25
0001669191-23-000658	4	Joel Steinmetz	Board Director	2023-05-25
0001669191-23-000658	1	Shari Noonan	Board Director	2023-05-15
0001669191-23-000658	2	Max Hooper	Board Director	2023-05-15
0001781955-23-000008	1	Ben White	Founder and CEO	2023-01-25
0001669191-23-000655	4	Manuel Teixeira	Board Member	2023-06-30
0001669191-23-000655	3	Manuel Teixeira	Principal Accounting Officer	2023-06-30
0001669191-23-000655	1	Manuel Teixeira	Principal Executive Officer	2023-06-30
0001669191-23-000655	2	Manuel Teixeira	Principal Financial Officer	2023-06-30
0001669191-23-000656	1	Richard Hatfield	Principal Executive Officer	2023-06-30
0001669191-23-000656	2	Wan Chang	Principal Financial Officer	2023-06-30
0001669191-23-000656	4	Richard Hatfield	Board Member	2023-06-30
0001669191-23-000656	3	Wan Chang	Principal Accounting Officer	2023-06-30
0001669191-23-000656	5	Wan Chang	Board Member	2023-06-30
0001670254-23-000688	2	Matt Venturi	CEO & Founder	2023-06-14
0001670254-23-000688	1	Timothy Pettee	Director	2023-06-15
0001665160-23-001466	1	Steve Luttmann	CEO	2023-06-30
0001665160-23-001466	2	Frederic Lavoie	CFO	2023-06-30
0001665160-23-001466	3	Grisa Soba	Director	2023-06-30
0001665160-23-001466	4	Mario Mazza	Director	2023-06-30
0001665160-23-001466	5	Ryan Malkin	Director	2023-06-30
0001665160-23-001465	1	Christoper Jared Lindsay	Chief Executive Officer and Principal Financial Officer	2023-06-30
0001665160-23-001465	2	Ryan Joseph Powell	Director	2023-06-30
0001665160-23-001465	3	Onur Unal	Director	2023-06-30
0001747584-23-000032	1	Bryan Garcia	Duly Authorized	2023-06-30
0001807734-23-000007	1	Brandi Barrett	Manager	2023-06-30
0001665160-23-001464	1	Joseph Tota	CEO, Sole Director	2023-06-30
0001665160-23-001462	1	Petra Wood	Director, Vice President, Head of Growth, Chief Operating Officer, and Secretary	2023-06-30
0001665160-23-001462	2	Paul Sieradzki	Director, Treasurer, Head of Product, Chief Executive Officer, and President	2023-06-30
0001746059-23-000174	1	Tammira Lucas	Owner and CEO	2023-06-30
0001746059-23-000173	1	Ashleigh Ferran	Owner and CEO	2023-06-30
0001669191-23-000649	4	Levan  Silagadze	Board Member	2023-06-30
0001669191-23-000649	3	Archil  Cheishvili	Principal Accounting Officer	2023-06-30
0001669191-23-000649	2	Archil  Cheishvili	Principal Financial Officer	2023-06-30
0001669191-23-000649	1	Archil  Cheishvili	Principal Executive Officer	2023-06-30
0001669191-23-000649	5	Archil  Cheishvili	Board Member	2023-06-30
0001669191-23-000648	3	Troy Helming	Principal Accounting Officer	2023-06-30
0001669191-23-000648	2	Gregory Scott Lane	Principal Financial Officer	2023-06-30
0001669191-23-000648	1	Troy Helming	Principal Executive Officer	2023-06-30
0001669191-23-000648	6	Rachel Payne	Board Member	2023-06-30
0001669191-23-000648	4	Joan Plastiras	Board Member	2023-06-30
0001669191-23-000648	5	Troy Helming	Board Member	2023-06-30
0001669191-23-000645	1	Yong-Jihn Kim	Principal Executive Officer	2023-06-30
0001669191-23-000645	2	Yong-Jihn Kim	Principal Financial Officer	2023-06-30
0001669191-23-000645	3	Yong-Jihn Kim	Principal Accounting Officer	2023-06-30
0001669191-23-000645	4	Yong-Jihn Kim	Board Member	2023-06-30
0001669191-23-000645	5	Juan Gonzalez	Board Member	2023-06-30
0001983113-23-000001	1	Sierra Georgia	CEO	2023-06-30
0001934971-23-000001	1	Ann Marcus	Co-Founder, CEO and Director	2023-06-29
0001983451-23-000001	1	Blake Hunter	President	2023-06-29
0001982185-23-000003	1	Joseph Hogue	Manager	2023-06-29
0001670254-23-000685	1	Shalise Lee	Member	2023-06-27
0001670254-23-000685	2	Glenndale Williams	Member	2023-06-27
0001670254-23-000685	3	Cortney Sargent	Chief Operating Officer	2023-06-27
0001670254-23-000685	4	Christian Sargent	Co-Founder & CEO	2023-06-27
0001670254-23-000683	1	Stephanie Painter	Co-Ceo	2023-06-29
0001982815-23-000001	1	Sophia Smith	Managing Member	2023-06-29
0001670254-23-000683	2	Hayley Painter	Co-Founder & Co-CEO	2023-06-29
0001669191-23-000642	1	Shannon Carmody Keyes	Principal Executive Officer	2023-06-29
0001669191-23-000642	3	Shannon Carmody Keyes	Principal Accounting Officer	2023-06-29
0001669191-23-000642	4	Shannon Carmody Keyes	Board Member	2023-06-29
0001669191-23-000642	2	Shannon Carmody Keyes	Principal Financial Officer	2023-06-29
0001665160-23-001461	1	Alauddin Bhuiyan	CEO, Chief Scientist, Sole Director	2023-06-29
0001665160-23-001461	2	Thomas Gerson	CFO	2023-06-29
0001746059-23-000172	1	Tara Noble	Owner and CoFounder	2023-06-29
0001840495-23-000004	1	Bob Cefail	CEO	2023-06-29
0001747584-23-000031	1	Colin Ardern	President & COO	2023-06-29
0001665160-23-001458	4	Christopher L Boyd	Board Chair	2023-06-29
0001665160-23-001458	5	Taylor Hartley Foxman Weiner	Director	2023-06-29
0001665160-23-001458	6	Tonya Wearner	Director	2023-06-29
0001665160-23-001458	7	Michael Francis Marckx	Director	2023-06-29
0001665160-23-001458	1	Kenneth Allen Young	CEO	2023-06-29
0001665160-23-001458	3	Garrett Potter	Board Director	2023-06-29
0001665160-23-001458	2	Anthony Gabriel Domenici	CFO	2023-06-29
0001913453-23-000002	1	Daniel Pitluk	CEO	2023-06-29
0001670254-23-000681	2	Prasad Mathews	CFO	2023-06-28
0001670254-23-000681	1	Loc Bastard	Founder, CTO	2023-06-29
0001670254-23-000681	3	Michael Pratt	Founder, CEO	2023-06-28
0001746059-23-000171	1	Michaela Flatley	Owner and Founder	2023-06-29
0001669191-23-000638	5	Brenda  Langille	Board Member	2023-06-29
0001669191-23-000638	4	Rick Langille	Board Member	2023-06-29
0001669191-23-000638	3	Rick Langille	Principal Accounting Officer	2023-06-29
0001669191-23-000638	2	Rick Langille	Principal Financial Officer	2023-06-29
0001669191-23-000638	6	Nikola Milivojevic	Board Member	2023-06-29
0001669191-23-000638	1	Rick Langille	Principal Executive Officer	2023-06-29
0001670254-23-000679	3	Richard DeRose	Founder, CEO	2023-06-27
0001670254-23-000679	2	Deirdre Callanan	President	2023-06-27
0001670254-23-000679	1	Richard DeRose	CEO	2023-06-27
0001670254-23-000677	1	Estifanos G	Founder / CTO	2023-06-27
0001665160-23-001456	1	Daniel O Toole	CEO, Chairman	2023-06-28
0001665160-23-001456	2	Arthur G. Beriault	Treasurer, VP of Govt Affairs	2023-06-28
0001665160-23-001456	3	John Ritchison	Attorney, Secretary	2023-06-28
0001665160-23-001456	4	Neerav Shah	Chief Strategy Officer, Director	2023-06-28
0001665160-23-001456	5	Mark D. Hamm	COO, Director	2023-06-28
0001748441-23-000005	1	Justin Michael Hines	General Counsel	2023-06-28
0001970476-23-000004	1	Adam Wertz	Managing Member	2023-06-28
0001669191-23-000634	5	Patrick Cahill	Board Member	2023-06-28
0001669191-23-000634	3	Sophia Becker	Principal Accounting Officer	2023-06-28
0001669191-23-000634	1	Sophia Becker	Principal Executive Officer	2023-06-28
0001669191-23-000634	4	Sophia Becker	Board Member	2023-06-28
0001669191-23-000634	2	Patrick Cahill	Principal Financial Officer	2023-06-28
0001669191-23-000634	6	Patrick Lincoln	Board Member	2023-06-28
0001669191-23-000633	4	Robert Waterman	Board Member	2023-06-28
0001669191-23-000633	2	Robert Waterman	Principal Financial Officer	2023-06-28
0001669191-23-000633	3	Robert Waterman	Principal Accounting Officer	2023-06-28
0001669191-23-000633	1	Robert Waterman	Principal Executive Officer	2023-06-28
0001669191-23-000632	1	John (Ted) Mooney	Principal Executive Officer	2023-06-28
0001669191-23-000632	2	Geraldine Berkowitz	Principal Financial Officer	2023-06-28
0001669191-23-000632	3	Geraldine Berkowitz	Principal Accounting Officer	2023-06-28
0001669191-23-000632	4	John (Ted) Mooney	Board Member	2023-06-28
0001669191-23-000631	6	Neil Epstein	Board Member	2023-06-28
0001669191-23-000631	5	Scott Timmons	Board Member	2023-06-28
0001669191-23-000631	4	Mary Gassler	Board Member	2023-06-28
0001669191-23-000631	3	Neil Epstein	Principal Accounting Officer	2023-06-28
0001669191-23-000631	1	Neil Epstein	Principal Executive Officer	2023-06-28
0001669191-23-000631	2	Neil Epstein	Principal Financial Officer	2023-06-28
0001978060-23-000001	1	Barry W. Jones	Chief Executive Officer	2023-06-28
0001670254-23-000676	1	Taryn Kosviner	Producer	2023-06-27
0001746059-23-000170	1	James Helms	Owner and Founder	2023-06-28
0001982230-23-000002	1	Gary Allen	Principal Executive Officer and Manager	2023-06-28
0001982230-23-000002	2	Robert Allen	Principal Financial Officer, Principal Accounting Officer and Manager	2023-06-28
0001948385-23-000001	1	/s/ Steven Day	Owner	2023-06-27
0001746059-23-000169	1	Jose DeSouza	Owner and CoFounder	2023-06-27
0001746059-23-000168	1	Jeffrey Peters	Owner and Founder	2023-06-27
0001665160-23-001454	1	Clinton Brown	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2023-06-27
0001665160-23-001453	2	Charles E Harrel	Chief Legal Officer, Secretary and Director	2023-06-27
0001665160-23-001453	3	Brent Adam	CFO	2023-06-27
0001665160-23-001453	1	Anthony Bash	CEO, Director and President	2023-06-27
0001665160-23-001452	1	Isaac Hayes III	CEO, President, Secretary, Treasurer, Director	2023-06-27
0001665160-23-001451	3	Anubhav Goel	Director	2023-06-27
0001665160-23-001451	2	John Lively	COO, Principal Accounting Officer	2023-06-27
0001665160-23-001451	1	Eric Hudson	CEO, President, Treasurer, Clerk, Director	2023-06-27
0001956001-23-000004	1	Chris Cupero	President and Chief Executive Officer	2023-06-27
0001981949-23-000001	1	Sydney Arkin	Managing Member	2023-06-26
0001981629-23-000001	1	Alexis Williams	CEO	2023-06-27
0001801610-23-000001	1	Ross Franklin	Director	2023-06-27
0001665160-23-001449	5	Scott Hansen	CEO and Principal Financial Executive	2023-06-26
0001665160-23-001449	4	Michael Kane	Director	2023-06-26
0001665160-23-001449	3	Michael J. Woods	Director	2023-06-26
0001665160-23-001449	2	Jay Ward	Director	2023-06-26
0001665160-23-001449	1	Brandon Perry	Director	2023-06-26
0001977849-23-000002	1	Robert Lauer	CEO	2023-06-26
0001665160-23-001450	4	Robert K. Wilson	Director	2023-06-26
0001665160-23-001450	3	Vincent Bruno	Director	2023-06-26
0001665160-23-001450	2	Anthony Cepparulo	COO, Secretary, Director	2023-06-26
0001665160-23-001450	1	Cleoria Oravec	CFO	2023-06-26
0001665160-23-001447	1	Brendan Feeley	CEO, Principal Accounting Officer, Sole Director	2023-06-26
0001926638-23-000001	1	Jessica Tungesvick	CPA	2023-06-26
0001665160-23-001445	1	Eugene Arutyunyan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-06-26
0001665160-23-001445	2	Avetik Bidzian	CTO and Director	2023-06-26
0001665160-23-001445	3	Siranush Karoi	CMO and Director	2023-06-26
0001942554-23-000003	2	Filippo Schiano di Pepe	Director	2023-06-26
0001942554-23-000003	3	Federico Schiano di Pepe	Director	2023-06-26
0001942554-23-000003	1	Alessandro Rossi	Director	2023-06-26
0001942554-23-000002	1	Alessandro Rossi	Director	2023-06-26
0001942554-23-000002	2	Filippo Schiano di Pepe	Director	2023-06-26
0001665160-23-001444	2	Dionisios Trakas	Secretary and Director	2023-06-26
0001665160-23-001444	1	Andrew Roiniotis	Vice President, Director and Principal Accounting Officer	2023-06-26
0001665160-23-001444	3	Isabelle Roiniotis	President and Director	2023-06-26
0001747584-23-000030	1	Bryan Garcia	Duly Authorized	2023-06-26
0001665160-23-001443	1	Cynthia Allison Jenkins Schickel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2023-06-26
0001665160-23-001442	1	Richard Hau Phamdo	CEO, CFO, Secretary, Director	2023-06-26
0001870374-23-000006	1	Nathan McLaughlin	CEO	2023-06-26
0001981637-23-000002	1	Russell Birk	CEO	2023-06-26
0001665160-23-001441	1	Stephen Forte	Founder, CEO, Sole Director and principal accounting officer	2023-06-26
0001665160-23-001440	1	Jaeson Bang	CEO, Founder, Secretary, Treasurer, principal accounting officer, and Director	2023-06-26
0001915810-23-000003	1	Cyrus Coleman	Managing member of the Manager, Creative Homies, LLC	2023-06-26
0001981637-23-000001	1	Candice Schibli	CEO	2023-06-26
0001979172-23-000001	1	Martin Madden	CEO	2023-06-26
0001670254-23-000672	1	Tonya Donati	Founder/CEO	2023-06-20
0001670254-23-000671	2	Alexandrea Day	CEO & Founder	2023-06-22
0001670254-23-000671	1	Michael S Lauder	CFO	2023-06-23
0001670254-23-000669	1	Matt Enlow	Writer/Director	2023-06-21
0001973422-23-000009	1	Anna Li	CEO	2023-06-23
0001746059-23-000167	1	Dreamer Glen	Owner and Founder	2023-06-23
0001746059-23-000166	1	Ralph Rapa	Owner and Founder	2023-06-23
0001746059-23-000165	1	Todd Andrews	Managing Partner	2023-06-23
0001669191-23-000625	3	Scott Kauffman	Principal Accounting Officer	2023-06-23
0001669191-23-000625	1	Scott Kauffman	Principal Executive Officer	2023-06-23
0001669191-23-000625	4	Scott Kauffman	Board Member	2023-06-23
0001669191-23-000625	2	Scott Kauffman	Principal Financial Officer	2023-06-23
0001669191-23-000626	3	Timur Akilov	Principal Accounting Officer	2023-06-23
0001669191-23-000626	4	James  O'Loughlin	Board Member	2023-06-23
0001669191-23-000626	5	Timur Akilov	Board Member	2023-06-23
0001669191-23-000626	1	James  O'Loughlin	Principal Executive Officer	2023-06-23
0001669191-23-000626	2	Timur Akilov	Principal Financial Officer	2023-06-23
0001746059-23-000164	1	Laura Harris	Owner and CEO	2023-06-23
0001746059-23-000163	1	Cameron Carlotti	Owner and President	2023-06-23
0001973422-23-000008	1	Anna Li	CEO	2023-06-23
0001669191-23-000621	5	Michelle Nicholls	Board Member	2023-06-23
0001669191-23-000621	4	Vaughan Nicholls	Board Member	2023-06-23
0001669191-23-000621	1	Vaughan Nicholls	Principal Executive Officer	2023-06-23
0001669191-23-000621	2	Vaughan Nicholls	Principal Financial Officer	2023-06-23
0001669191-23-000621	3	Vaughan Nicholls	Principal Accounting Officer	2023-06-23
0001970234-23-000001	2	Mark Wingertzahn	Director	2023-06-23
0001970234-23-000001	4	Paul Farr	Director	2023-06-23
0001970234-23-000001	1	Brianna Wronko-Stevens	Director	2023-06-23
0001970234-23-000001	3	Jay Rosan	Director	2023-06-23
0001980694-23-000001	1	Stephen Beaumier	CEO	2023-06-22
0001670254-23-000665	2	Gosia Dziembaj	CEO & designer	2023-06-22
0001670254-23-000665	1	Maksymilian Kumierek	CFO	2023-06-22
0001670254-23-000667	6	Nick Jaros	Chief Financial Officer	2023-06-22
0001670254-23-000667	5	Matthew Case	SVP	2023-06-22
0001670254-23-000667	4	Peter F. Capuciati	CEO	2023-06-22
0001670254-23-000667	3	David Gordon	Board Member	2023-06-22
0001980694-23-000002	1	Sandra Daniels	President	2023-06-22
0001670254-23-000667	1	C. Devin Whatley	Managing Partner	2023-06-22
0001670254-23-000667	2	Chanel Damphousse	Partner	2023-06-22
0001665160-23-001438	2	Thomas G. Muehlbauer	Director	2023-06-22
0001665160-23-001438	3	Danielle Forsgren	Director	2023-06-22
0001665160-23-001438	4	Hamid Khorramian	Director	2023-06-22
0001665160-23-001438	5	Rhonda Migliaccio	CFO	2023-06-22
0001665160-23-001438	1	Anthony Peter Shimkin	CEO, President, Director	2023-06-22
0001670254-23-000663	3	Nate Young	Co-founder and CEO	2023-06-20
0001670254-23-000663	2	Lauren Pearlowitz	Secretary	2023-06-20
0001670254-23-000663	1	Gina Young	Co-founder	2023-06-20
0001670254-23-000661	2	Parrish Stikeleather	Writer / Director	2023-06-21
0001670254-23-000661	1	Megan Petersen	Producer	2023-06-21
0001665160-23-001437	5	Abigail Knox Berman	Director	2023-06-22
0001665160-23-001437	4	Bruce Samuel Cunningham	President, Director	2023-06-22
0001665160-23-001437	3	Patrick William Mackay Imeson	Director	2023-06-22
0001665160-23-001437	2	Michael Beane	CFO	2023-06-22
0001665160-23-001437	6	Trevor Pettennude	Director	2023-06-22
0001665160-23-001437	1	Robert Mackay Imeson	CEO and Founder, Director	2023-06-22
0001669191-23-000617	6	Eric Magnuson	Board Member	2023-06-22
0001669191-23-000617	2	Eric Magnuson	Principal Financial Officer	2023-06-22
0001669191-23-000617	3	Kirk Magnuson	Principal Accounting Officer	2023-06-22
0001669191-23-000617	4	Kirk Magnuson	Board Member	2023-06-22
0001669191-23-000617	5	Erik  Magnuson	Board Member	2023-06-22
0001669191-23-000617	1	Kirk Magnuson	Principal Executive Officer	2023-06-22
0001669191-23-000616	1	Basem Harb	Principal Executive Officer	2023-06-22
0001669191-23-000616	2	Basem Harb	Principal Financial Officer	2023-06-22
0001669191-23-000616	3	Cynthia Smith	Principal Accounting Officer	2023-06-22
0001669191-23-000616	4	Basem Harb	Board Member	2023-06-22
0001669191-23-000616	5	Cynthia Smith	Board Member	2023-06-22
0001961056-23-000001	1	Mariam Gyulumyan	Director	2023-06-22
0001961056-23-000001	2	Narek Tonoyan	Director	2023-06-22
0001669191-23-000615	4	Jason Bell	Board Member	2023-06-22
0001669191-23-000615	1	Scott Deans	Principal Executive Officer	2023-06-22
0001669191-23-000615	2	Jason Bell	Principal Financial Officer	2023-06-22
0001669191-23-000615	5	Scott Deans	Board Member	2023-06-22
