ACCESSION_NUMBER	ID	ISEDGARFILER	COISSUERCIK	NAMEOFCOISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	COISSUERWEBSITE
0001670254-21-000764	2			BioSmart Research I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000764	1			BioSmart Research I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000762	2			Invincible Entertainment Partners I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000762	1			Invincible Entertainment Partners I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	29-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000760	1			Nwicode I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000760	2			Nwicode I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000754	1			LearnDay I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000754	2			LearnDay I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000752	1			BeWell Digital I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000750	1			Clew I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000748	1			Place Technology I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000746	1			Archneura I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000746	2			Archneura I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000744	1			Entelexo I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000742	1			Simply Tiny Development I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000742	2			Simply Tiny Development I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000740	2			GreenLifeTech I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000740	1			GreenLifeTech I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000738	1			Upstack I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000738	2			Upstack I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000736	1			Fanera I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000736	2			Fanera I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000734	2			Idle I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000734	1			Idle I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000732	2			Hana Makgeolli I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000732	1			Hana Makgeolli I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	22-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000728	1			Earnest Capital I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-21-000062	1			Exo-Space CF SPV, LLC	Limited Liability Company		DE	09-MAR-2021	484 E CALIFORNIA BLVD.		PASADENA	CA	91106	
0001670254-21-000725	1			BusinessOnBot I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000722	1			Ponto Footwear I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000727	2			Brane I EB, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001670254-21-000727	1			Brane I, a series of Wefunder SPV, LLC	Limited Liability Company		DE	14-JUN-2021	4104 24TH ST	PMB 8113	San Francisco	CA	94114	https://wefunder.com/
0001644600-21-000061	1			Exo-Space CF SPV, LLC	Limited Liability Company		DE	09-MAR-2021	484 E CALIFORNIA BLVD.		PASADENA	CA	91106	
