ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-21-002432	1	Hyperlight Energy Inc.	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001886772-21-000002	1	Apothio, LLC	Dr. Trent Jones	Chief Executive Officer
0001780439-21-000022	1	Rockval Inc	Grant Gregory Weiss	Chief Executive Officer
0001669191-21-001270	1	MassGenie	Bruce Watanabe	Principal Executive Officer
0001665160-21-002430	1	Como Audio, Inc	Thomas DeVesto	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002428	1	Revolution MD, Inc	Josh Kimmel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002425	1	SanMelix Laboratories, Inc.	Diana Sabacinski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000643	1	Milagro Foods LLC	Nicholas French	Owner and CEO
0001665160-21-002423	1	BlueSky Energy US Inc.	Lyle Gold	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002420	1	Full Circle Brewing Co. Ltd., LLC	Arthur Moye	CEO and Managing Member, Principal Financial Officer, and Principal Accounting Officer
0001665160-21-002421	1	Harp and Cork, Inc. dba Dharma Southern Kitchen	Shaun Noonan	Principal Executive Officer and Director
0001665160-21-002418	1	CFBB Pictures	Jason Buterin	CEO and Manager, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002415	1	The NoBaked Company	Megan Feeman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000642	1	ELITEA LLC	Elias Majid	Owner
0001902033-21-000001	1	O2, Inc.	David Colina	Founder & CEO
0001746059-21-000641	1	Star Estate Development Group	Paul Seres	Owner and CoFounder
0001665160-21-002412	1	Clearwater Distilling Co LLC	Matt Eau Claire	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000640	1	Slauterhouse, LLC	Derek T Lees	Owner
0001665160-21-002407	1	Trella Technologies LLC	Aja Atwood	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001746059-21-000639	1	SIN CITY SUPERETTE LLC	Rachel Miller	Chef/Owner
0001872382-21-000011	1	Row House Publishing, Inc.	Rebekah Borucki	President
0001746059-21-000638	1	Bar at 66 Greenpoint LLC	Ibraheem Abdul-Malik	Sole Member
0001665160-21-002397	1	YouSolar, Inc.	Arnold Leitner	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002396	1	GACW Incorporated	Zoltan Kemeny	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-21-002394	1	Colorado Sake Co.	William Stuart	President, CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
