ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-21-002432	1	John D.H. King	CEO, Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2021-12-30
0001886772-21-000002	2	Thomas Kirk	Manager	2021-12-30
0001886772-21-000002	1	Dr. Trent Jones	CEO Manager	2021-12-30
0001780439-21-000022	1	Grant Gregory Weiss	Chief Executive Officer	2021-12-30
0001669191-21-001270	1	Bruce Watanabe	Principal Executive Officer	2021-12-30
0001669191-21-001270	4	Bruce Watanabe	Board Member	2021-12-30
0001669191-21-001270	3	Thu Truong	Principal Accounting Officer	2021-12-30
0001669191-21-001270	2	Thu Truong	Principal Financial Officer	2021-12-30
0001669191-21-001270	5	Thu Truong	Board Member	2021-12-30
0001665160-21-002430	1	Thomas DeVesto	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001665160-21-002428	1	Josh Kimmel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001665160-21-002425	1	Diana Sabacinski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001746059-21-000643	1	Nicholas French	Owner and CEO	2021-12-30
0001665160-21-002423	1	Lyle Gold	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001665160-21-002420	1	Arthur Moye	CEO and Managing Member, Principal Financial Officer, and Principal Accounting Officer	2021-12-30
0001665160-21-002421	1	Shaun Noonan	Principal Executive Officer and Director	2021-12-30
0001665160-21-002421	3	Ashley Montgomery	Director	2021-12-30
0001665160-21-002421	2	Kevin Armantrout	Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001665160-21-002421	4	Steve Byrne	Director	2021-12-30
0001665160-21-002418	1	Jason Buterin	CEO and Manager, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001665160-21-002415	1	Megan Feeman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001746059-21-000642	1	Elias Majid	Owner	2021-12-30
0001902033-21-000001	7	Jeffrey Rosenblum	Board of Directors Member	2021-12-27
0001902033-21-000001	6	James Lyski	Board of Directors Member	2021-12-27
0001902033-21-000001	3	Katrina Hahn	Board of Directors Member	2021-12-27
0001902033-21-000001	4	Stephanie Fortener	Board of Directors Member	2021-12-27
0001902033-21-000001	5	Dan Crane	Board of Directors Member	2021-12-27
0001902033-21-000001	1	David Colina	Founder & CEO	2021-12-27
0001902033-21-000001	2	Dr. Daniel Kim	Chief Medical Officer	2021-12-27
0001746059-21-000641	1	Paul Seres	Owner and CoFounder	2021-12-30
0001746059-21-000641	2	Charles Ferri	Owner and CoFounder	2021-12-30
0001665160-21-002412	1	Matt Eau Claire	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2021-12-29
0001746059-21-000640	1	Derek T Lees	Owner	2021-12-30
0001665160-21-002407	1	Aja Atwood	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2021-12-30
0001746059-21-000639	1	Rachel Miller	Chef/Owner	2021-12-30
0001872382-21-000011	1	Rebekah Borucki	President	2021-07-13
