ACCESSION_NUMBER	ID	ISSUEJURISDICTIONSECUROFFERING
0001746059-22-000440	52	WY
0001746059-22-000440	51	WI
0001746059-22-000440	2	AK
0001746059-22-000440	3	AZ
0001746059-22-000440	4	AR
0001746059-22-000440	5	CA
0001746059-22-000440	6	CO
0001746059-22-000440	7	CT
0001746059-22-000440	8	DE
0001746059-22-000440	9	DC
0001746059-22-000440	10	FL
0001746059-22-000440	11	GA
0001746059-22-000440	12	HI
0001746059-22-000440	13	ID
0001746059-22-000440	14	IL
0001746059-22-000440	15	IN
0001746059-22-000440	16	IA
0001746059-22-000440	17	KS
0001746059-22-000440	18	KY
0001746059-22-000440	19	LA
0001746059-22-000440	20	ME
0001746059-22-000440	21	MD
0001746059-22-000440	22	MA
0001746059-22-000440	23	MI
0001746059-22-000440	24	MN
0001746059-22-000440	25	MS
0001746059-22-000440	26	MO
0001746059-22-000440	27	MT
0001746059-22-000440	28	NE
0001746059-22-000440	29	NV
0001746059-22-000440	30	NH
0001746059-22-000440	31	NJ
0001746059-22-000440	32	NM
0001746059-22-000440	33	NY
0001746059-22-000440	34	NC
0001746059-22-000440	35	ND
0001746059-22-000440	36	OH
0001746059-22-000440	37	OK
0001746059-22-000440	38	OR
0001746059-22-000440	39	PA
0001746059-22-000440	40	PR
0001746059-22-000440	41	RI
0001746059-22-000440	42	SC
0001746059-22-000440	43	SD
0001746059-22-000440	44	TN
0001746059-22-000440	45	TX
0001746059-22-000440	46	UT
0001746059-22-000440	47	VT
0001746059-22-000440	48	VA
0001746059-22-000440	49	WA
0001746059-22-000440	50	WV
0001746059-22-000440	1	AL
0001527854-22-000006	10	FL
0001527854-22-000006	11	GA
0001527854-22-000006	12	HI
0001527854-22-000006	13	ID
0001527854-22-000006	14	IL
0001527854-22-000006	15	IN
0001527854-22-000006	16	IA
0001527854-22-000006	17	KS
0001527854-22-000006	18	KY
0001527854-22-000006	19	LA
0001527854-22-000006	20	ME
0001527854-22-000006	21	MD
0001527854-22-000006	22	MA
0001527854-22-000006	23	MI
0001527854-22-000006	24	MN
0001527854-22-000006	25	MS
0001527854-22-000006	26	MO
0001527854-22-000006	27	MT
0001527854-22-000006	28	NE
0001527854-22-000006	29	NV
0001527854-22-000006	30	NH
0001527854-22-000006	31	NJ
0001527854-22-000006	32	NM
0001527854-22-000006	33	NY
0001527854-22-000006	34	NC
0001527854-22-000006	35	ND
0001527854-22-000006	36	OH
0001527854-22-000006	37	OK
0001527854-22-000006	50	WV
0001527854-22-000006	51	WI
0001527854-22-000006	52	WY
0001527854-22-000006	1	AL
0001527854-22-000006	2	AK
0001527854-22-000006	3	AZ
0001527854-22-000006	4	AR
0001527854-22-000006	5	CA
0001527854-22-000006	6	CO
0001527854-22-000006	7	CT
0001527854-22-000006	8	DE
0001527854-22-000006	9	DC
0001527854-22-000006	38	OR
0001527854-22-000006	39	PA
0001527854-22-000006	40	PR
0001527854-22-000006	41	RI
0001527854-22-000006	42	SC
0001527854-22-000006	43	SD
0001527854-22-000006	44	TN
0001527854-22-000006	45	TX
0001527854-22-000006	46	UT
0001527854-22-000006	47	VT
0001527854-22-000006	48	VA
0001527854-22-000006	49	WA
0001746059-22-000439	1	AL
0001746059-22-000439	52	WY
0001746059-22-000439	3	AZ
0001746059-22-000439	4	AR
0001746059-22-000439	5	CA
0001746059-22-000439	6	CO
0001746059-22-000439	7	CT
0001746059-22-000439	8	DE
0001746059-22-000439	9	DC
0001746059-22-000439	10	FL
0001746059-22-000439	11	GA
0001746059-22-000439	12	HI
0001746059-22-000439	13	ID
0001746059-22-000439	14	IL
0001746059-22-000439	15	IN
0001746059-22-000439	16	IA
0001746059-22-000439	17	KS
0001746059-22-000439	18	KY
0001746059-22-000439	19	LA
0001746059-22-000439	20	ME
0001746059-22-000439	21	MD
0001746059-22-000439	22	MA
0001746059-22-000439	23	MI
0001746059-22-000439	24	MN
0001746059-22-000439	25	MS
0001746059-22-000439	26	MO
0001746059-22-000439	27	MT
0001746059-22-000439	28	NE
0001746059-22-000439	29	NV
0001746059-22-000439	30	NH
0001746059-22-000439	31	NJ
0001746059-22-000439	32	NM
0001746059-22-000439	33	NY
0001746059-22-000439	34	NC
0001746059-22-000439	35	ND
0001746059-22-000439	36	OH
0001746059-22-000439	37	OK
0001746059-22-000439	38	OR
0001746059-22-000439	39	PA
0001746059-22-000439	40	PR
0001746059-22-000439	41	RI
0001746059-22-000439	42	SC
0001746059-22-000439	43	SD
0001746059-22-000439	44	TN
0001746059-22-000439	45	TX
0001746059-22-000439	46	UT
0001746059-22-000439	47	VT
0001746059-22-000439	48	VA
0001746059-22-000439	49	WA
0001746059-22-000439	50	WV
0001746059-22-000439	51	WI
0001746059-22-000439	2	AK
0001958652-22-000001	35	ND
0001958652-22-000001	36	OH
0001958652-22-000001	37	OK
0001958652-22-000001	38	OR
0001958652-22-000001	39	PA
0001958652-22-000001	40	PR
0001958652-22-000001	41	RI
0001958652-22-000001	42	SC
0001958652-22-000001	43	SD
0001958652-22-000001	44	TN
0001958652-22-000001	45	TX
0001958652-22-000001	46	UT
0001958652-22-000001	47	VT
0001958652-22-000001	48	VA
0001958652-22-000001	49	WA
0001958652-22-000001	50	WV
0001958652-22-000001	51	WI
0001958652-22-000001	52	WY
0001958652-22-000001	53	A0
0001958652-22-000001	54	A1
0001958652-22-000001	55	A2
0001958652-22-000001	56	A3
0001958652-22-000001	57	A4
0001958652-22-000001	58	A5
0001958652-22-000001	59	A6
0001958652-22-000001	60	A7
0001958652-22-000001	61	A8
0001958652-22-000001	62	A9
0001958652-22-000001	63	B0
0001958652-22-000001	1	AL
0001958652-22-000001	2	AK
0001958652-22-000001	3	AZ
0001958652-22-000001	4	AR
0001958652-22-000001	5	CA
0001958652-22-000001	6	CO
0001958652-22-000001	7	CT
0001958652-22-000001	8	DE
0001958652-22-000001	9	DC
0001958652-22-000001	10	FL
0001958652-22-000001	11	GA
0001958652-22-000001	12	HI
0001958652-22-000001	13	ID
0001958652-22-000001	14	IL
0001958652-22-000001	64	Z4
0001958652-22-000001	15	IN
0001958652-22-000001	16	IA
0001958652-22-000001	17	KS
0001958652-22-000001	18	KY
0001958652-22-000001	19	LA
0001958652-22-000001	20	ME
0001958652-22-000001	21	MD
0001958652-22-000001	22	MA
0001958652-22-000001	23	MI
0001958652-22-000001	24	MN
0001958652-22-000001	25	MS
0001958652-22-000001	26	MO
0001958652-22-000001	27	MT
0001958652-22-000001	28	NE
0001958652-22-000001	29	NV
0001958652-22-000001	30	NH
0001958652-22-000001	31	NJ
0001958652-22-000001	32	NM
0001958652-22-000001	33	NY
